DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB09087,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01369,-2.037780053,-1.85698159,-1.137946249,1.146126603,-0.497690774,-0.556956612,-0.934657737,-0.622953358,-0.893910477,1.088575436,-0.964650487,-0.639642643,-0.761842492,-0.673732502,-0.892386254,-0.309197371,0.045646275,1.662820906,-0.641127851,-0.67183993,-0.730279727,0.958243839
DB13783,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB08938,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB09215,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB11079,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01367,0.783496822,0.967250501,0.911717331,-1.527595584,-0.830678275,-0.607604765,-0.336389044,-0.659427594,1.650977135,-1.35215029,1.786175066,-0.682593623,1.678495996,1.686318093,-0.819124686,1.345937822,-0.085979884,-0.76527558,-0.435013213,-0.7634346,0.129479495,0.864658034
DB08987,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00347,0.79242438,0.923930549,0.861091575,-1.825241992,-0.632715549,-0.812462792,-1.048388743,-0.725553545,-0.893910477,0.991246443,-1.00180922,-0.834891423,-0.87215829,-0.89282372,-1.023972565,-0.301491238,0.07433498,-1.199976532,-0.440084932,-0.663513142,-0.280760946,0.077865295
DB00379,0.800172827,0.910062446,1.212753706,-1.545341917,-1.04709649,-0.990783128,-0.747891805,-0.699837897,2.198711032,-1.084129662,1.796968059,-0.898473879,2.023312572,-0.89282372,-0.924038096,-0.427071277,0.001572694,-0.670689399,-0.412494783,-0.501703395,-0.602797396,0.715019086
DB00134,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00806,0.800172827,0.97711544,-0.896029884,0.679275065,-0.751177706,1.701983395,-0.597825014,-0.622690954,-0.894081965,1.106504461,1.796968059,-0.918730237,-0.903882053,-0.943127063,-1.047622537,-0.31462159,-0.185647122,-1.028436088,-0.569515186,-0.76478489,-0.188422392,0.529158662
DB06782,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01394,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB08941,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01074,0.769515928,0.969252083,1.117957827,-1.329750333,-1.047254229,-0.894341276,1.888996083,-0.791154688,2.19888252,-1.467408307,1.796968059,-0.834891423,2.023153156,-0.892648447,-0.861267869,-0.335495484,-0.104189036,-0.591428156,-0.97545553,-0.895988065,-0.392623821,0.820897247
